Event Type,Location,Region,Country,Latitude,Longitude,Date,Time UTC,Details,Deaths,Source Link
heavy rain,Souss-Massa-Drâa,Igherm,Morocco,30.08,8.46,28-08-2019,16:00,"based on information from:  a report on a website, a newspaper report Number of people injured: 1 . https://www.moroccoworldnews.com/2019/08/281368/floods-taroudant-seven-one/ Reference: Floods in Taroudant Kill Seven, Injure One, Morocco World News, 29 Aug 2019. Lightning Detection. report status: report confirmed by reliable source (QC1) contact: Gabriel Strommer (ESWD management)",0,#map_div
heavy rain,Tata,Tata,Morocco,29.75,7.97,28-08-2019,15:00,"based on information from:  a report on a website, a newspaper report Impacts: Flooding of ground floor many houses flooded https://www.moroccoworldnews.com/2019/08/281368/floods-taroudant-seven-one/ Reference: Floods in Taroudant Kill Seven, Injure One, Morocco World News, 29 Aug 2019. Lightning Detection. report status: report confirmed by reliable source (QC1) contact: Gabriel Strommer (ESWD management)",0,#map_div
heavy rain,Meknès-Tafilalet,Midelt,Morocco,32.68,4.74,28-08-2019,12:00,"based on information from:  a report on a website, a newspaper report Impacts: Road(s) impassable or closed, Inhabited place(s) cut off from transport infrastructure villages cut of from transport infrastructure https://www.h24info.ma/maroc/video-des-orages-diluviens-dans-le-sud-du-maroc-plusieurs-morts-et-disparus/ Reference: Vidéo. Des orages diluviens dans le sud du Maroc: plusieurs morts et disparus, h24info, 28 Aug 2019. report status: plausibility check passed (QC0+) contact: Gabriel Strommer (ESWD management)",0,#map_div
heavy rain,Souss-Massa-Drâa,Taroudant,Morocco,30.48,8.86,28-08-2019,12:00,"based on information from:  a report on a website, an eyewitness report of the damage, photo or video of the event, a newspaper report, photograph(s) and/or video footage of the inflicted damage Impacts: Building(s) (almost) fully destroyed, Flooding of ground floor, Flooding above ground floor Number of people dead: 8 . at a football field flood swept away buildings and people. Bodies of 7 persons were recovered, 1 person was missing. The body of the missing person was found on 2nd Sept;  Note: The football field was built in a river’s path known to accumulate floods; https://www.moroccoworldnews.com/2019/08/281357/rainstorms-floods-southern-morocco-people-missing/ https://nos.nl/artikel/2299391-doden-in-zuid-marokko-na-overstromingen.html https://www.moroccoworldnews.com/2019/09/281763/floods-southern-morocco-death-toll-taroudant/ Reference: rainstorms-floods-southern-morocco-people-missing, moroccoworldnews.com, 28 aug 2019;  doden-in-zuid-marokko-na-overstromingen, nos.nl, 29 aug 2019; Floods in Southern Morocco: Death Toll Rises to 8, Morocco World News, 2 Sept 2019. report status: report confirmed by reliable source (QC1) contact: Bas van der Ploeg (Voluntary Observer Person) / Update: Gabriel Strommer (ESSL)",8,#map_div
heavy rain,Oued Damchan bridge,Errachidia,Morocco,31.93,4.43,08-09-2019,10:00,"based on information from:  a newspaper report, a report on a website, photograph(s) and/or video footage of the inflicted damage Impacts: Road(s) impassable or closed Number of people injured: 29 .   Number of people dead: 17 . Bus was torn off the road by suddenly rising flood waters at Oued Damchan bridge in Errachidia Province; at least 17 people died, it's not clear if there are still people missing; https://www.moroccoworldnews.com/2019/09/282154/errachidia-floods-death-toll/ Reference: Morocco’s Errachidia Floods: Death Toll Rises to 8, Morocco World News, 8 Sept 2019. Death toll of Morocco flood-hit bus rises to 17, Gulf News, 9 Sept 2019. report status: report confirmed by reliable source (QC1) contact: Gabriel Strommer (ESWD management)",17,#map_div
heavy rain,Sidi Hcine,Sidi Hcine,Morocco,33.05,6.00,02-09-2019,17:00,"based on information from:  a newspaper report, a report on a website Number of people dead: 1 . old man in his 70s drowned in floodwater https://www.moroccoworldnews.com/2019/09/281817/floods-khenifra-province-two/ Reference: Floods Hit Khenifra Province, Kill Two, Morocco World News, 3 Sept 2019. Lightning Detection. report status: report confirmed by reliable source (QC1) contact: Gabriel Strommer (ESWD management)",1,#map_div
heavy rain,M’rirt,M’rirt,Morocco,33.16,5.57,02-09-2019,17:00,"based on information from:  a newspaper report, a report on a website Impacts: Road(s) impassable or closed Number of people dead: 1 . girl knocked down by wind and injured, died on the way to the hospital due to blocked road because of floodings; https://www.moroccoworldnews.com/2019/09/281817/floods-khenifra-province-two/ Reference: Floods Hit Khenifra Province, Kill Two, Morocco World News, 3 Sept 2019. Lightning Detection. report status: report confirmed by reliable source (QC1) contact: Gabriel Strommer (ESWD management)",1,#map_div
heavy rain,Imlil,Imlil,Morocco,31.13,7.92,01-09-2019,16:00,"based on information from:  a newspaper report, photo or video of the event, a report on a website, photograph(s) and/or video footage of the inflicted damage Impacts: Road(s) impassable or closed, Road(s) damaged or destroyed, Bridge(s) damaged or destroyed, Flooding of ground floor, Car(s) damaged (unspecified), Tree(s) uprooted or snapped floodings, large debris- / mudflow; roads blocked / damaged, bridge destryed, buildings and cars damaged; large rocks transported by flood waters, palm trees uprooted; https://www.huffpostmaghreb.com/entry/dimpressionnantes-crues-touchent-la-region-dimlil-videos_mg_5d6cd91ce4b011080451b776?ncid=other_huffpostre_pqylmel2bk8&utm_campaign=related_articles https://www.moroccoworldnews.com/2019/09/281738/second-wave-flooding-south-morocco/ https://twitter.com/Lixus_014/status/1168217741188378625 https://twitter.com/Lixus_014/status/1168222850454556673 https://twitter.com/saidiabderraza1/status/1168220479796273152 Reference: D'impressionnantes crues touchent la région d'Imlil (VIDÉOS), The Huffington Post International, 2 Sept 2019. Second Wave of Flooding Hits Southern Morocco, Morocco World News, 2 Sept 2019. Kamal Badr-din (on Twitter), 1 Sept 2019. Kamal Badr-din (on Twitter), 1 Sept 2019. report status: report confirmed by reliable source (QC1) contact: Gabriel Strommer (ESWD management)",0,#map_div
tornado,Chaouia-Ouardigha,Oued Zem,Morocco,32.86,6.55,15-03-2020,15:30,"based on information from:  a report on a website, an eye-witness report, photograph(s) and/or video footage of the inflicted damage, photo or video of the event occurring over: land intensity and other characteristics: IF1 ,  Damage Indicator: TRA,  Degree of Damage: 3 the intensity rating was based on photograph(s) and/or video footage of the inflicted damage. Impacts: Damage to roof or chimney, Large tree branch(es) broken, Tree(s) uprooted or snapped Tornado over land (one out of two events) close to Oued Zem town. https://sun6-14.userapi.com/c206528/v206528996/a95f1/MLBKOi5cmGE.jpg https://vk.com/video-21245447_456246542 https://twitter.com/i/status/1239310034305236993 Reference: photo/video: Фобос. Катаклизмы и катастрофы природы, v. VKontakte, 15 MAR 2020 (pers.com.v. I.Azhigov), 16 MAR 2020; v. Twitter report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management/ESSL Team) / Igor Laskowski (ESWD management)",0,#map_div
tornado,Chaouia-Ouardigha,Oued Zem,Morocco,32.81,6.55,15-03-2020,15:30,"based on information from:  a report on a website, an eye-witness report, photo or video of the event occurring over: land Tornado over land (one out of two events) close to Oued Zem town. https://sun6-19.userapi.com/c855432/v855432996/2051e1/ArlPNX1vFzA.jpg Reference: photo/video: Фобос. Катаклизмы и катастрофы природы, v. VKontakte, 15 MAR 2020 (pers.com.v. I.Azhigov), 16 MAR 2020 report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management/ESSL Team)",0,#map_div
large hail,Tanger-Tétouan,Tanger,Morocco,35.78,5.81,14-04-2020,22:00,"based on information from:  photo or video of the event, a television or radio broadcast, a report on a website significant hail layer http://ceutatv.com/art/21563/impresionante-tormenta-electrica-y-de-granizo-durante-la-pasada-madrugada-en-tanger Reference: ""Impresionante tormenta eléctrica y de granizo durante la pasada madrugada en Tánger"", CEUTA TV, 15 APR 2020 report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management/ESSL Team)",0,#map_div
damaging lightning,Marrakech-Tensift-Al Haouz,Oulad Chaoui,Morocco,31.71,7.38,01-03-2021,15:10,"based on information from:  a newspaper report Number of people injured: 6 .   Number of people dead: 2 . Lightning strike hit soccer sports site; Two teenage boys killed, 6 others injured. http://www.mapexpress.ma/actualite/societe-et-regions/el-kelaa-sraghna-foudre-fait-morts-six-blesses/ Reference: ""El Kelâa des Sraghna: La foudre fait deux morts et six blessés"", MAP EXPRESS, 01 MAR 2021 report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management/ESSL Team)",2,#map_div
damaging lightning,Marrakech-Tensift-Al Haouz,Oulad Chaoui,Morocco,31.71,7.38,01-03-2021,15:10,"based on information from:  a newspaper report Number of people injured: 6 .   Number of people dead: 2 . Lightning strike hit soccer sports site; Two teenage boys killed, 6 others injured. http://www.mapexpress.ma/actualite/societe-et-regions/el-kelaa-sraghna-foudre-fait-morts-six-blesses/ Reference: ""El Kelâa des Sraghna: La foudre fait deux morts et six blessés"", MAP EXPRESS, 01 MAR 2021 report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management/ESSL Team)",2,#map_div
tornado,Rif,Douar Izemmouren,Morocco,35.32,3.08,05-11-2021,10:00,"based on information from:  photo or video of the event, a newspaper report occurring over: water Tornado over water https://elfarodemelilla.es/comienza-formarse-tornado-sobre-cielo-melilla/ Reference: ""Una manga marina se forma en el cielo y los Pinares de Rostrogordo amanecen con granizo"", EL FARO DE MELILLA, 05 NOV 2021; SAT; report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management/ESSL Team)",0,#map_div
severe wind,Meknès-Tafilalet,Midelt,Morocco,32.69,4.73,20-04-2022,13:30,"based on information from:  a report by a weather service, a report on a website wind speed: 25.2 m/s Weather station recorded a peak wind gust of 25,2 m/s. https://www.ogimet.com/cgi-bin/gsynres?ind=60195&lang=en&decoded=yes&ndays=2&ano=2022&mes=04&day=20&hora=18 Reference: Ogimet.com, date of access: 22 APR 2022. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
heavy rain,Oriental,Nador,Morocco,35.17,2.93,05-04-2022,06:00,"based on information from:  a report on a website, photograph(s) and/or video footage of the inflicted damage, an eyewitness report of the damage Impacts: Road(s) impassable or closed Local floodings (flooded roads) were reported after a period of heavy rainfall. Time was based on SAT data. https://www.facebook.com/watch/?v=936177817060169 Reference: Eyewitness report via Severe Weather Morocco (on Facebook), 05 APR 2022. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
heavy rain,Tanger-Tétouan,Targha,Morocco,35.39,5.01,05-04-2022,00:00,"based on information from:  a report on a website Impacts: Road(s) impassable or closed, Basement(s) flooded, Land- or mudslide(s) Local floodings (flooded houses, damaged roads, landslides) were reported after a period of heavy rainfall. Time was based on SAT data. https://fr.le360.ma/societe/a-chefchaouen-et-alentours-une-pluie-diluvienne-et-des-routes-coupees-257889 Reference: ""À CHEFCHAOUEN ET ALENTOURS, UNE PLUIE DILUVIENNE ET DES ROUTES COUPÉES"", le360, 05 APR 2022. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
heavy rain,Tanger-Tétouan,Bni Bouzra,Morocco,32.33,4.95,05-04-2022,00:00,"based on information from:  a report on a website Impacts: Road(s) impassable or closed, Basement(s) flooded, Land- or mudslide(s) Local floodings (flooded houses, damaged roads, landslides) were reported after a period of heavy rainfall. Time was based on SAT data. https://fr.le360.ma/societe/a-chefchaouen-et-alentours-une-pluie-diluvienne-et-des-routes-coupees-257889 Reference: ""À CHEFCHAOUEN ET ALENTOURS, UNE PLUIE DILUVIENNE ET DES ROUTES COUPÉES"", le360, 05 APR 2022. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
heavy rain,Tanger-Tétouan,El Jebha,Morocco,35.20,4.67,05-04-2022,00:00,"based on information from:  a report on a website Impacts: Road(s) impassable or closed, Basement(s) flooded, Land- or mudslide(s) Local floodings (flooded houses, damaged roads, landslides) were reported after a period of heavy rainfall. Time was based on SAT data. https://fr.le360.ma/societe/a-chefchaouen-et-alentours-une-pluie-diluvienne-et-des-routes-coupees-257889 Reference: ""À CHEFCHAOUEN ET ALENTOURS, UNE PLUIE DILUVIENNE ET DES ROUTES COUPÉES"", le360, 05 APR 2022. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
heavy rain,Tanger-Tétouan,Martil,Morocco,35.62,5.28,04-04-2022,23:00,"based on information from:  a report on a website, photograph(s) and/or video footage of the inflicted damage, an eyewitness report of the damage Impacts: Road(s) impassable or closed, Basement(s) flooded, Flooding of ground floor A local flash flood (flooded streets and properties) were reported after a period of heavy rainfall. Time was based on SAT data. https://www.facebook.com/watch/?v=693871615098102 https://www.yabiladi.com/articles/details/126105/maroc-pluies-torrentielles-inondations-dans.html https://fr.al3omk.com/18493.html https://www.facebook.com/permalink.php?story_fbid=5058570580893667&id=778558778894890 Reference: ""Maroc : Pluies torrentielles et inondations dans des villes du nord"", Yabiladi.com, 05 APR 2022.  ""Inondations: Tétouan et Martil comptent leurs pertes après les pluies diluviennes (VIDEOS)"", al3omk, 07 APR 2022.  شبكة طقس الجزائر Algeria Weather Network (on Facebook), 07 APR 2022. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
heavy rain,Tanger-Tétouan,Tetouan,Morocco,35.57,5.37,04-04-2022,23:00,"based on information from:  a report on a website, photograph(s) and/or video footage of the inflicted damage, an eyewitness report of the damage Impacts: Road(s) impassable or closed, Basement(s) flooded, Flooding of ground floor A local flash flood (flooded streets and properties) were reported after a period of heavy rainfall. Time was based on SAT data. https://www.facebook.com/watch/?v=693403492108377 https://www.facebook.com/watch/?v=693871615098102 https://www.facebook.com/watch/?v=922628028406504 https://www.yabiladi.com/articles/details/126105/maroc-pluies-torrentielles-inondations-dans.html https://fr.al3omk.com/18493.html https://lematin.ma/express/2022/intemperies-agadir-tetouan-chefchaouen-rues-inondees-quelques-degats-materiels/374233.html Reference: ""Intempéries à Agadir, Tétouan et Chefchaouen : rues inondées et quelques dégâts matériels"", Le Matin.ma, 05 APR 2022.  Severe Weather Morocco (on Facebook), 04 APR 2022.  Tous pour la ville d'Agadir جميعا من أجل آكادير (on Facebook), 04 APR 2022.  ""Maroc : Pluies torrentielles et inondations dans des villes du nord"", Yabiladi, 05 APR 2022.  ""Inondations: Tétouan et Martil comptent leurs pertes après les pluies diluviennes (VIDEOS)"", al3omk, 07 APR 2022. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
heavy rain,Souss-Massa-Drâa,Anza,Morocco,30.45,9.65,04-04-2022,08:45,"based on information from:  a report on a website, photograph(s) and/or video footage of the inflicted damage, an eyewitness report of the damage Impacts: Road(s) impassable or closed, Basement(s) flooded, Flooding of ground floor Local flash flood (flooded streets and properties) were reported. Time was based on SAT data. https://fr.le360.ma/societe/intemperies-a-agadir-plusieurs-maisons-inondees-les-habitants-racontent-leur-detresse-257852 https://2m.ma/fr/news/Inondation-%C3%A0-Agadir-des-d%C3%A9g%C3%A2ts-mat%C3%A9riels-enregistr%C3%A9s-Reportage--20220404 https://lematin.ma/express/2022/intemperies-agadir-tetouan-chefchaouen-rues-inondees-quelques-degats-materiels/374233.html https://www.facebook.com/watch/?v=996054647700317 https://www.facebook.com/watch/?v=1289860894838958 Reference: ""INTEMPÉRIES À AGADIR: PLUSIEURS MAISONS INONDÉES, LES HABITANTS RACONTENT LEUR DÉTRESSE"", Le 360, 04 APR 2022.  ""Inondation à Agadir : des dégâts matériels enregistrés (Reportage)"", 2m.ma, 05 APR 2022.  ""Intempéries à Agadir, Tétouan et Chefchaouen : rues inondées et quelques dégâts matériels"", Le Matin.ma, 05 APR 2022.  Severe Weather Morocco (on Facebook), 04 APR 2022.  Tous pour la ville d'Agadir جميعا من أجل آكادير (on Facebook), 04 APR 2022. report status: report confirmed by reliable source (QC1) contact: Igor Laskowski (ESWD management)",0,#map_div
heavy rain,Fès-Boulemane,Fès,Morocco,34.05,4.98,14-06-2022,18:45,"based on information from:  an eye-witness report, photograph(s) and/or video footage of the inflicted damage, a report on a website, a newspaper report Impacts: Road(s) impassable or closed https://www.facebook.com/watch/?v=4786832128089409 Reference: witness photo report; reported v. Severe Weather Morocco, v. Facebook, 15 JUN 2022 report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management/ESSL Team)",0,#map_div
heavy rain,Chaouia-Ouardigha,Oued Zem,Morocco,32.86,6.56,14-06-2022,16:30,"based on information from:  an eye-witness report, photograph(s) and/or video footage of the inflicted damage, photo or video of the event, a report on a website Impacts: Road(s) impassable or closed, Farmland flooded https://www.facebook.com/watch/?v=555330662950342 Reference: witness photo report; reported v. Severe Weather Morocco, v. Facebook, 15 JUN 2022 report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management/ESSL Team)",0,#map_div
tornado,Chaouia-Ouardigha,Oued Zem,Morocco,32.86,6.56,10-06-2022,15:50,"based on information from:  an eye-witness report, photo or video of the event, a report on a website occurring over: land Tornado observed https://www.facebook.com/permalink.php?story_fbid=pfbid0ELiYS5AMRQvnriPnvCoDrET5yH7GqsWCx4o4catwfjrtDFnMEezV1bBwmoBB9h2Ul&id=195816100756722 Reference: witness photo report; reported v. Severe Weather Morocco, v. Facebook, 10 JUN 2022 report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management/ESSL Team)",0,#map_div
heavy rain,Marrakech-Tensift-Al Haouz,Tagadirte,Morocco,31.36,7.78,16-10-2022,13:30,"based on information from:  an eye-witness report, an eyewitness report of the damage, a report on a website, photograph(s) and/or video footage of the inflicted damage Impacts: Road(s) impassable or closed, Farmland flooded https://www.facebook.com/photo/?fbid=550905840371198&set=pcb.550906033704512 Reference: Severe Weather Morocco, v. Facebook, 17 OCT 2022 report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management/ESSL Team)",0,#map_div
heavy rain,Marrakech-Tensift-Al Haouz,Douar Timalizene,Morocco,31.35,7.75,16-10-2022,13:30,"based on information from:  a report on a website, photo or video of the event, photograph(s) and/or video footage of the inflicted damage Impacts: Road(s) impassable or closed, Basement(s) flooded, Flooding of ground floor https://www.facebook.com/NEWSOURIKA/videos/630076071921648 Reference: Severe Weather Morocco, v. Facebook, 17 OCT 2022 report status: report confirmed by reliable source (QC1) contact: Thilo Kühne (ESWD management/ESSL Team)",0,#map_div
